TFrames;DuraciónFr;TSegundos;DuraciónSeg;TMilisegundos;DuraciónMiliseg;INICIO Y FINAL DE POSESIÓN DE BALÓN;MARCADOR;DEFENSA CONTRARIA;SIMETRIA / ASIMETRIA;SECUENCIA OFENSIVA;MEDIOS TÁCTICOS SIMPLES;MEDIOS TÁCTICOS COMPLEJOS DESDOBLAMIENTOS;MEDIOS TÁCTICOS COMPLEJOS CRUCES;CONTRAATAQUE;FINALIZACIÓN
83328;67;0:55:33,154;0:0:2,719;3333154;2719;;P5;SEIS;IGUAL;;;;;;;
83396;952;0:55:35,873;0:0:38,100;3335873;38100;OFF;;;;;;;;;;
84349;1623;0:56:13,973;0:1:4,950;3373973;64950;ON;;;;;;;;;;
85973;367;0:57:18,923;0:0:14,700;3438923;14700;;P5;SEIS;;;;;;;;
86340;258;0:57:33,623;0:0:10,325;3453623;10325;;P5;SEIS;;;;;;;;
86598;855;0:57:43,948;0:0:34,225;3463948;34225;OFF;;;;;;;;;;
87454;1001;0:58:18,173;0:0:40,077;3498173;40077;ON;;;;;;;;;;
88456;61;0:58:58,250;0:0:2,473;3538250;2473;;P5;SEIS;;;;;;;;
88518;2545;0:59:0,723;0:1:41,800;3540723;101800;OFF;;;;;;;;;;
91063;916;1:0:42,523;0:0:36,650;3642523;36650;ON;;;;;;;;;;
91979;265;1:1:19,173;0:0:10,626;3679173;10626;;P5;CINCO;IGUAL;;;;;;;
92244;299;1:1:29,799;0:0:11,999;3689799;11999;;P5;CINCO;IGUAL;;;;;;;
92544;533;1:1:41,798;0:0:21,325;3701798;21325;;P5;CINCO;IGUAL;;;;;;;
93078;53;1:2:3,123;0:0:2,151;3723123;2151;;P5;CINCO;IGUAL;;;;;;;
93131;872;1:2:5,274;0:0:34,900;3725274;34900;OFF;;;;;;;;;;
94004;238;1:2:40,174;0:0:9,524;3760174;9524;ON;;;;;;;;;;
94242;491;1:2:49,698;0:0:19,675;3769698;19675;;P5;CINCO;IGUAL;;;;;;;
94734;60;1:3:9,373;0:0:2,425;3789373;2425;;P5;CINCO;IGUAL;;;;;;;
94794;101;1:3:11,798;0:0:4,075;3791798;4075;OFF;;;;;;;;;;
94896;107;1:3:15,873;0:0:4,300;3795873;4300;ON;;;;;;;;;;
95004;1171;1:3:20,173;0:0:46,850;3800173;46850;;P5;CINCO;IGUAL;;;;;;;
96175;48;1:4:7,023;0:0:1,925;3847023;1925;;P5;CINCO;IGUAL;;;;;;;
96223;1639;1:4:8,948;0:1:5,580;3848948;65580;OFF;;;;;;;;;;
97863;216;1:5:14,528;0:0:8,645;3914528;8645;ON;;;;;;;;;;
98079;68;1:5:23,173;0:0:2,725;3923173;2725;;P5;CINCO;;;;;;SEG;;
98147;875;1:5:25,898;0:0:35,025;3925898;35025;OFF;;;;;;;;;;
99023;737;1:6:0,923;0:0:29,485;3960923;29485;ON;;;;;;;;;;
99760;482;1:6:30,408;0:0:19,290;3990408;19290;;P5;CINCO;;;;;;;;
100242;82;1:6:49,698;0:0:3,300;4009698;3300;;P5;CINCO;;;;;;;;
100324;1391;1:6:52,998;0:0:55,657;4012998;55657;OFF;;;;;;;;;;
101716;187;1:7:48,655;0:0:7,518;4068655;7518;ON;;;;;;;;;;
101904;75;1:7:56,173;0:0:3,001;4076173;3001;;P5;SEIS;;;;;;SEG;;
101979;980;1:7:59,174;0:0:39,229;4079174;39229;OFF;;;;;;;;;;
102960;238;1:8:38,403;0:0:9,550;4118403;9550;ON;;;;;;;;;;
103198;61;1:8:47,953;0:0:2,475;4127953;2475;;P5;CINCO;;;;;;SEG;;
103260;1100;1:8:50,428;0:0:44,001;4130428;44001;OFF;;;;;;;;;;
104360;459;1:9:34,429;0:0:18,375;4174429;18375;ON;;;;;;;;;;
104820;68;1:9:52,804;0:0:2,750;4192804;2750;;P5;CINCO;IGUAL;;;;;;;
104888;2290;1:9:55,554;0:1:31,621;4195554;91621;OFF;;;;;;;;;;
107179;381;1:11:27,175;0:0:15,250;4287175;15250;ON;;;;;;;;;;
107560;972;1:11:42,425;0:0:38,900;4302425;38900;;P5;CINCO;IGUAL;;;;;SEG;;
108533;389;1:12:21,325;0:0:15,575;4341325;15575;;P5;CINCO;IGUAL;;;;;;;
108922;55;1:12:36,900;0:0:2,200;4356900;2200;;P5;CINCO;IGUAL;;;;;;;
108977;801;1:12:39,100;0:0:32,050;4359100;32050;OFF;;;;;;;;;;
109778;691;1:13:11,150;0:0:27,650;4391150;27650;ON;;;;;;;;;;
110470;68;1:13:38,800;0:0:2,750;4418800;2750;;P5;CINCO;IGUAL;;;;;;;
110538;718;1:13:41,550;0:0:28,725;4421550;28725;OFF;;;;;;;;;;
111256;109;1:14:10,275;0:0:4,375;4450275;4375;ON;;;;;;;;;;
111366;115;1:14:14,650;0:0:4,625;4454650;4625;;P5;CINCO;IGUAL;;;;;SEG;;
111481;1791;1:14:19,275;0:1:11,653;4459275;71653;OFF;;;;;;;;;;
113273;582;1:15:30,928;0:0:23,301;4530928;23301;ON;;;;;;;;;;
113855;68;1:15:54,229;0:0:2,724;4554229;2724;;P5;CINCO;IGUAL;;;;;;;
113923;460;1:15:56,953;0:0:18,410;4556953;18410;OFF;;;;;;;;;;
114384;207;1:16:15,363;0:0:8,315;4575363;8315;ON;;;;;;;;;;
114591;55;1:16:23,678;0:0:2,200;4583678;2200;;P5;CINCO;IGUAL;;;;;;;
114646;748;1:16:25,878;0:0:29,950;4585878;29950;OFF;;;;;;;;;;
115395;225;1:16:55,828;0:0:9,025;4615828;9025;ON;;;;;;;;;;
115621;47;1:17:4,853;0:0:1,900;4624853;1900;;P4;CINCO;IGUAL;;;;;;;
115668;;1:17:6,753;;4626753;;OFF;;;;;;;;;;
